id,province,population,x_coord,y_coord,latitude,longitude,name,household_id
11001,1,14204,150964.395333333,202431.664,51.1340539,4.3844742,AARTSELAAR,1
11002,1,464835,153104.586028369,212271.710070922,51.2165845003546,4.41354548865248,ANTWERPEN,1
11004,1,12628,159954.505,206256.5035,51.16082405,4.51038522,BOECHOUT,1
11005,1,15427,150360.4,198115.397222222,51.08608,4.36633,BOOM,1
11007,1,11439,158373.267142857,209240.251428571,51.1966684,4.4856299,BORSBEEK,1
11008,1,40012,158918.819827586,221748.327413793,51.29227,4.49419,BRASSCHAAT,1
11009,1,27941,168070.150125,224780.0715,51.3495775,4.6376322,BRECHT,1
11013,1,22944,154685.668,205393.024666667,51.1559541,4.4318937,EDEGEM,1
11016,1,18001,156460.2596,237847.8004,51.38298,4.47518,ESSEN ,1
11018,1,9758,148198.769285714,203536.623571429,51.14518,4.33834,HEMIKSEM,1
11021,1,8677,157610.123333333,204366.294444444,51.1540043,4.4711513,HOVE,1
11022,1,18526,157904.470588235,231315.796176471,51.38298,4.47518,KALMTHOUT ,1
11023,1,27166,154487.6576,224119.3344,51.3140004,4.4324004,KAPELLEN,1
11024,1,21391,155592.424827586,201594.393448276,51.1300355655172,4.4466770862069,KONTICH,1
11025,1,8541,159097.005555556,201935.016666667,51.1272719,4.4967604,LINT,1
11029,1,25100,156009.792380952,207196.811904762,51.1691158,4.4662486,MORTSEL,1
11030,1,8759,147481.69,199869.634285714,51.11064,4.33207,NIEL,1
11035,1,19235,165219.225142857,208999.295714286,51.1887110371429,4.59022609142857,RANST,1
11037,1,15587,153073.82,198210.017826087,51.090113626087,4.41347080869565,RUMST,1
11038,1,8219,148445.176666667,201304.416666667,51.1269186,4.3388412,SCHELLE,1
11039,1,20692,164830.49625,215797.55375,51.2481301333333,4.5759354,SCHILDE,1
11040,1,34347,159116.704027778,216452.039722222,51.2497532,4.4977063,SCHOTEN,1
11044,1,20258,151340.993235294,224221.246764706,51.3229754411765,4.38529379411765,STABROEK,1
11050,1,8878,160418.273846154,213067.75,51.2298182,4.5108974,WIJNEGEM,1
11052,1,12689,160133.67575,210635.344,51.2021676,4.5219648,WOMMELGEM,1
11053,1,19359,165472.553285714,230754.345857143,51.3918731628571,4.60460126857143,WUUSTWEZEL,1
11054,1,13417,171240.356451613,210798.587741935,51.2061349806452,4.67296063548387,ZANDHOVEN,1
11055,1,22412,170230.605,216710.912692308,51.2551742846154,4.660247,ZOERSEL,1
11056,1,19241,147413.726590909,211497.378181818,51.2111991272727,4.33681802272727,ZWIJNDRECHT,1
11057,1,15569,173766.162083333,220855.247083333,51.2989753,4.71400875,MALLE-WESTMALLE,1
12002,1,10950,170183.21375,199770.38625,51.11804,4.65752,BERLAAR,1
12005,1,14831,163812.0405,190191.099,51.022196545,4.54803189,BONHEIDEN,1
12007,1,21736,140919.533103448,197684.458965517,51.0960068310345,4.23910036551724,BORNEM-BORMEM,1
12009,1,17312,159562.417368421,198297.200526316,51.09539,4.5052,DUFFEL,1
12014,1,41448,175485.751727273,195142.910181818,51.0751658363636,4.72976478181818,HEIST-OP-DEN-BERG,1
12021,1,34450,164122.030606061,202178.86969697,51.1302163606061,4.57150510909091,LIER,1
12025,1,78753,157133.004734043,190719.186808511,51.0253457489362,4.47459442765958,MECHELEN,1
12026,1,22674,170161.91375,204679.688,51.161359085,4.67056163,NIJLEN,1
12029,1,16808,168321.421818182,193384.040454545,51.0547257,4.6286791,PUTTE,1
12030,1,16968,145766.049285714,195576.441428571,51.0660142971429,4.31838657142857,PUURS,1
12034,1,8010,140363.067222222,193587.940555556,51.0559173,4.2216529,SINT-AMANDS,1
12035,1,20105,160949.1434,194566.7006,51.068052052,4.544615732,SINT,1
12040,1,23674,149512.518235294,193678.293235294,51.0549093352941,4.35449356176471,WILLEBROEK,1
13001,1,13152,200265.820714286,223593.327142857,51.322049,5.0863348,ARENDONK ,1
13002,1,2375,188246.127602339,235450.818913255,51.441832,4.931736,BAARLE-HERTOG,1
13003,1,21777,206348.938285714,206025.960571429,51.1643076485714,5.16314632571429,BALEN,1
13004,1,17866,181984.558,222925.8025,51.31501988,4.84026508,BEERSE,1
13006,1,9486,202306.173076923,214920.894615385,51.23985,5.11269,DESSEL,1
13008,1,38118,192976.39754717,204923.660566038,51.1414208867925,4.91406741320755,GEEL,1
13010,1,11771,176066.145238095,207526.172380952,51.1843208285714,4.73956748571429,GROBBENDONK,1
13011,1,28210,182261.408181818,206326.053030303,51.1643319787879,4.83547916969697,HERENTALS,1
13012,1,9422,178069.888333333,203598.811666667,51.1394506,4.7564892,HERENTHOUT,1
13013,1,14994,185479.861176471,193018.376470588,51.0523683235294,4.880688,HERSELT,1
13014,1,19926,177723.850128205,236286.371538462,51.4167736615385,4.77053884871795,HOOGSTRATEN,1
13016,1,9820,181190.1955,194518.243,51.07468686,4.79178604,HULSHOUT,1
13017,1,19564,190260.79425,214726.58225,51.233684625,4.937155015,KASTERLEE,1
13019,1,16785,182261.79,215623.595862069,51.2602124206897,4.83726776206897,LILLE,1
13021,1,10290,199576.960625,202102.603125,51.13219,5.07708,MEERHOUT,1
13023,1,9025,184075.034375,228333.24125,51.34806,4.76054,MERKSPLAS ,1
13025,1,35256,202717.016324786,210208.450598291,51.191087,5.1170647,MOL,1
13029,1,12613,186180.606,206167.0615,51.1440245,4.8599119,OLEN,1
13031,1,14054,193450.011315789,223717.788947368,51.3177601,4.982845,OUD-TURNHOUT,1
13035,1,14314,195016.689583333,234093.055138889,51.4103972694444,5.01068341666667,RAVELS,1
